company_name,country,website,product_family,main_products,manufacturer_evidence,estimated_employee_range,export_evidence,certifications,turkey_presence,existing_turkey_distributor,export_contact_name,export_contact_title,export_email,linkedin_company_url,source_urls,trust_score_0_100,commercial_score_0_100,atlas_score_0_100,status,notes
"Roten S.r.l.","Italy","https://www.roten-seals.com/","Mechanical seals / gaskets / sealing products","Mechanical seals; silicon-carbide and carbon components","Official site states it has produced mechanical seals since 1945 and heads a five-company manufacturing group","51-200","Worldwide application sectors and group structure shown; English catalogue available","UNI EN ISO 9001; UNI EN ISO 14001","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","info@roten.it","UNKNOWN","https://www.roten-seals.com/",94,91,92.5,"GO","High-repeat critical consumable; verify channel conflict before outreach"
"Sotras S.r.l.","Italy","https://www.sotras.com/en/","Industrial filtration products","Air; oil; hydraulic filters; separators; special cartridges","Official site says it designs and supplies industrial separation and filtration products since 1975","51-200","English site; products positioned for global industrial applications","UNKNOWN","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.sotras.com/en/",86,91,88.5,"GO","Attractive aftermarket and OEM replacement potential"
"FILTREX S.r.l.","Italy","https://www.filtrex.it/","Industrial filtration products","Automatic filters; static filters; coalescers; process filtration systems","Official catalogue identifies FILTREX as an Italian filtration-solutions manufacturer with Milan facilities","30-100","Catalogue states worldwide operations across power; water; marine and industry","UNKNOWN","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.filtrex.it/; https://www.filtrex.it/wp-content/uploads/2024/10/AL-Catalogo-2024.pdf",86,90,88,"GO","Project-led sales plus replacement elements; confirm employee count"
"Fluitek Orsenigo Valves S.r.l.","Italy","https://fluitekvalves.com/","Industrial valves / process valves","Engineered gate; globe; check and ball valves","Official site states in-house design and manufacture of tailor-made valves since 1987","51-200","Official site describes global presence and EPC/end-user supply","ISO 9001; API 6A; API 6D; API 6DSS; ATEX; IEC 61508 SIL; PED","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","info@fluitekvalves.com","UNKNOWN","https://fluitekvalves.com/",94,85,89.5,"GO","Excellent trust; project cycles longer than consumables"
"FIRSA S.p.A.","Italy","https://www.firsa.com/","Industrial valves / process valves","Cast-steel gate; globe; check; bellows; cryogenic valves; strainers","Official site identifies Italian manufacturing plant and valve production since 1953","51-200","Products target global chemical; petrochemical; power; pipeline and offshore uses","ISO 9001:2015; API 600; ATEX; PED","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.firsa.com/",92,84,88,"GO","Strong engineered-valve fit; validate live export ownership"
"Valvosider S.r.l.","Italy","https://valvosider.com/","Industrial valves / process valves","Industrial gate; globe; check and specialty valves","Official site says family-operated since 1951 with 100% in-house production and foundry","201-500","Official site says engineered for worldwide critical applications","ISO; API; PED","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://valvosider.com/; https://www.valvosider.it/sites/default/files/2020-03/catalog.pdf",95,83,89,"GO","Upper end of size preference but compelling technical range"
"ARTEMA S.r.l.","Italy","https://www.artemagaskets.it/en/gaskets","Mechanical seals / gaskets / sealing products","Flat; spiral-wound; camprofile; ring-joint and metal-jacketed gaskets","Official site states it designs and manufactures industrial gaskets for over 35 years","30-100","Official site cites national and international industrial operations","International product standards; exact certificates UNKNOWN","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.artemagaskets.it/en/gaskets",82,89,85.5,"GO","Good custom high-duty gasket angle; obtain certification pack"
"AGIT S.r.l.","Italy","https://www.agit.it/","Mechanical seals / gaskets / sealing products","Custom industrial gaskets; washers; insulation parts; waterjet-cut components","Official site describes over 50 years of in-house custom gasket production and workshop processes","10-50","English site and international-facing technical presentation; explicit export footprint not quantified","UNKNOWN","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","info@agit.it","UNKNOWN","https://www.agit.it/",78,84,81,"GO","Smaller custom producer; export readiness needs direct qualification"
"GBL S.r.l.","Italy","https://gblrubber.it/","Mechanical seals / gaskets / sealing products","Hydraulic and fluid-power seals in rubber; fabric and thermoplastics","Official site describes injection and compression molding plus in-house finishing and laboratory","51-200","GB Group described as a major European producer serving demanding applications","IATF 16949","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://gblrubber.it/",86,87,86.5,"GO","Strong OEM/custom potential; automotive exposure may dilute process focus"
"Technical Solutions S.r.l.","Italy","https://technicalsolutions.it/index.html","Mechanical seals / gaskets / sealing products","Radial lip seals; flat industrial gaskets","Official site states it designs; manufactures and sells its own products directly","10-50","English-facing technical website; export scale not stated","UNKNOWN","No obvious Turkey office found in public review","NONE FOUND","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://technicalsolutions.it/index.html",75,84,79.5,"GO","Niche design-led offer; requires export-capability check"
