rank,turkish_manufacturer,foreign_buyer,buyer_type,target_country,product_capability_match,match_score,why_this_match,why_now,commercial_model,export_commission_score,sourcing_partnership_score,buyer_side_mandate_score,introduction_fee_score,back_to_back_score,long_term_representation_score,estimated_order_potential,estimated_commission_potential,risks,first_contact_recommendation,manufacturer_source_urls,buyer_source_urls,decision
1,"Pro-Mak Automotive","KION Group AG","Foreign OEM","Germany","Serial precision-machined drivetrain; gear and industrial machinery components",86,"Pro-Mak has 37 CNC machines plus broaching and gear capability; KION procures direct serial products under PPAP and tooling controls.","KION operates live self-registration for future tenders and provides a Turkish supplier code; Pro-Mak states European export experience.","Export commission",90,78,55,70,58,82,"UNKNOWN","UNKNOWN","Supplier qualification and PPAP burden; available capacity; prices and incumbent suppliers UNKNOWN.","First obtain Pro-Mak authority and a verified capability pack; then prepare KION e-source registration evidence. Manufacturer contact only after authorization.","https://www.pro-mak.com/en/|https://www.pro-mak.com/en/uretim.html|https://www.pro-mak.com/en/kalite.html","https://www.kiongroup.com/en/About-us/Suppliers/","PROCEED"
2,"ERBAB Otomat Yedek Parça Sanayi Ticaret A.Ş.","CNH Industrial N.V.","Foreign OEM","Italy","High-volume precision turned parts for agricultural and construction machinery",85,"ERBAB operates 50 CNC machines; has automotive quality systems and European export history; CNH's application explicitly screens production facilities; commodities and certifications.","CNH maintains a live prospective-supplier application visible to its global Purchasing community; ERBAB already supplies European automotive programs.","Export commission",90,80,55,72,60,84,"UNKNOWN","UNKNOWN","DUNS and sustainability requirements; incumbent suppliers; current capacity and pricing UNKNOWN.","Validate ERBAB's interest in an Atlas-led CNH application and obtain current certificates; capacity table and target part families before any portal action.","https://erbab.com.tr/en/about-us/|https://erbab.com.tr/en/","https://supplier.cnh.com/supplier/Portal/Collection/PotentialSupplier/Index","PROCEED"
3,"Kurutlu Technologies","GEA Group AG","Foreign OEM","Germany","Low-to-high-volume 3-5 axis machined components for process equipment",83,"Kurutlu offers complex CNC milling and turning across many industrial materials; GEA explicitly seeks subcontracted manufacturing and product-related suppliers.","GEA states it is always looking for reliable suppliers and publishes supplier registration; Kurutlu has German-language readiness and JIT/JIS positioning.","Sourcing partnership",84,90,62,72,65,80,"UNKNOWN","UNKNOWN","GEA sustainability qualification; exact material and tolerance demand; Kurutlu export references and capacity availability UNKNOWN.","Confirm Kurutlu's export references; current machine availability and target tolerances; then prepare a GEA subcontract-manufacturing qualification brief.","https://www.kurutlu.com/|https://www.kurutlu.com/de","https://www.gea.com/en/company/suppliers/our-needs","PROCEED"
4,"Ulus Metal","Solaris Bus & Coach sp. z o.o.","Foreign OEM","Poland","Serial sheet-metal forming; welded assemblies and tooling for bus structures and components",81,"Ulus provides mass-production sheet-metal forming; welding and assembly; Solaris acquires production components under a formal supplier framework.","Solaris has a current supplier handbook and active procurement program; Ulus already exposes a Polish contact channel and automotive capability.","Export commission",78,84,50,65,62,76,"UNKNOWN","UNKNOWN","Ulus may already operate directly in Poland; bypass and channel-conflict risk are high; certifications and open demand UNKNOWN.","Before buyer work verify Ulus's Polish entity; existing Solaris relationship and willingness to appoint Atlas. Proceed only if no channel conflict.","https://en.ulusmetal.com.tr/","https://www.solarisbus.com/public/assets/content/firma/dostawcy/Supplier_handbook_Solaris_Bus__Coach_S.A.pdf","PROCEED"
5,"Girginer Oto Endüstri Sanayi A.Ş.","Škoda Group a.s.","Foreign OEM","Czechia","Forged; machined and coated serial components for rail and vehicle systems",80,"Girginer combines forging; machining and coating at serial scale; Škoda uses component suppliers under a formal quality framework.","Škoda has active 2026 vehicle orders and production procurement; Girginer states supply to Germany and Italy and capacity above two million pieces.","Long-term export representation",78,80,50,64,60,86,"UNKNOWN","UNKNOWN","Rail-specific approvals; exact part families; certification status; new-supplier access and 90-day timing UNKNOWN.","Verify Girginer certificates; city; decision maker and rail-applicable parts; then identify Škoda's relevant production-procurement category owner.","https://girginer.com/","https://www.skodagroup.com/page/code-of-conduct-for-suppliers|https://admin.skodagroup.com/wp-content/uploads/2025/08/Skoda-Transportation-Dodavatelsky-manual-kvality_En.pdf","PROCEED"
6,"ERBAB Otomat Yedek Parça Sanayi Ticaret A.Ş.","KION Group AG","Foreign OEM","Germany","Precision serial machined parts for forklifts; drivetrains and industrial vehicles",79,"ERBAB has automotive serial machining; PPAP experience and German export history; KION sources forged and serial components under formal PPAP processes.","KION's open e-source registration can surface qualified suppliers for future RFQs; ERBAB already serves German automotive markets.","Export commission",86,78,50,68,58,82,"UNKNOWN","UNKNOWN","Possible overlap with ERBAB's existing German accounts; KION commodity need and capacity UNKNOWN.","Check ERBAB's KION-group relationship and representation openness before preparing supplier registration.","https://erbab.com.tr/en/about-us/","https://www.kiongroup.com/en/About-us/Suppliers/","PROCEED"
7,"Pro-Mak Automotive","CNH Industrial N.V.","Foreign OEM","Italy","Machined transmission; clutch; engine and steering-system components",78,"Pro-Mak's documented automotive parts align with CNH equipment component categories; both use serial-production quality disciplines.","CNH's potential-supplier portal is live and Pro-Mak states European export activity.","Export commission",86,76,50,68,58,80,"UNKNOWN","UNKNOWN","IATF certificate validity; exact CNH commodity code; DUNS and sustainability readiness UNKNOWN.","Validate Pro-Mak's current certificates and CNH relationship; then map products to the portal commodity taxonomy.","https://www.pro-mak.com/en/urunler.html|https://www.pro-mak.com/en/kalite.html","https://supplier.cnh.com/supplier/Portal/Collection/PotentialSupplier/Index","PROCEED"
8,"Kurutlu Technologies","Krones AG","Foreign OEM","Germany","Precision-machined custom components for packaging and process machinery",78,"Kurutlu supports complex low-to-high-volume machining; Krones seeks technologically capable suppliers for production materials.","Krones publishes an application to become a supplier and eSupplier qualification route; Kurutlu has German-language capability.","Sourcing partnership",80,84,55,72,60,76,"UNKNOWN","UNKNOWN","Exact procurement category; tolerance package; export track record and current capacity UNKNOWN.","Obtain Kurutlu reference parts and German capability pack; then assess Krones supplier application categories.","https://www.kurutlu.com/de|https://www.kurutlu.com/_files/ugd/114eae_019c742efe784f2f9227e88a859f973d.pdf","https://www.krones.com/en/company/suppliers.php","PROCEED"
9,"Ulus Metal","Škoda Group a.s.","Foreign OEM","Czechia","Formed sheet-metal and welded assemblies for transport-vehicle structures",77,"Ulus's forming; welding and assembly capability maps to Škoda's rail and public-transport vehicle production.","Škoda has new 2026 vehicle orders and active production procurement; its supplier quality framework is public.","Long-term export representation",76,80,45,64,62,82,"UNKNOWN","UNKNOWN","Rail welding certification and material traceability are UNKNOWN; long qualification may exceed 90 days.","Verify EN rail welding qualifications and existing Czech/Škoda business before identifying the production procurement owner.","https://en.ulusmetal.com.tr/","https://www.skodagroup.com/press-release/skoda-group-to-supply-34-additional-battery-trolleybuses-to-plzen|https://admin.skodagroup.com/wp-content/uploads/2025/08/Skoda-Transportation-Dodavatelsky-manual-kvality_En.pdf","PROCEED"
10,"Pro-Mak Automotive","GEA Group AG","Foreign OEM","Germany","Machined pump; valve and industrial machinery components",76,"Pro-Mak lists pumps; valves and industrial machinery among served sectors; GEA explicitly buys pump; valve and subcontract-manufacturing categories.","GEA has open supplier registration and an explicit current need statement; Pro-Mak has European export readiness.","Sourcing partnership",78,82,58,68,62,74,"UNKNOWN","UNKNOWN","Pro-Mak's pump/valve references; materials; tolerances and GEA category demand UNKNOWN.","Request evidence of non-automotive pump and valve projects from Pro-Mak before a GEA qualification path is prepared.","https://www.pro-mak.com/en/","https://www.gea.com/en/company/suppliers/our-needs","PROCEED"
11,"ERBAB Otomat Yedek Parça Sanayi Ticaret A.Ş.","Solaris Bus & Coach sp. z o.o.","Foreign OEM","Poland","Precision automotive components for bus systems",75,"ERBAB's serial automotive machining and quality systems align with Solaris component sourcing.","Solaris maintains a current supplier handbook and responsible procurement program; ERBAB is export-ready in Europe.","Export commission",80,76,45,66,58,78,"UNKNOWN","UNKNOWN","No specific open Solaris commodity or public onboarding form; exact bus component fit UNKNOWN.","Identify two ERBAB parts with direct bus application and verify no existing Solaris relationship before qualification.","https://erbab.com.tr/en/about-us/","https://www.solarisbus.com/public/assets/content/firma/dostawcy/Supplier_handbook_Solaris_Bus__Coach_S.A.pdf","PROCEED"
