buyer_name,country,website,buyer_type,industry,need_evidence,procurement_signal,contact_channel,source_urls,buyer_fit_score,status,notes,source_classes,verification_score,commercial_accessibility_score,commercial_signal_score,commercial_signal_type,commercial_signal_date,signal_evidence_state,signal_summary,legacy_status
KION Group AG,Germany,https://www.kiongroup.com/,Foreign OEM,Intralogistics equipment,Official supplier materials cover direct serial products; PPAP; tooling and spare-parts supply,Open e-source self-registration allows suppliers to be considered for tenders and RFQs,KION e-source self-registration,https://www.kiongroup.com/en/About-us/Suppliers/,92,WAIT,Strong active procurement route; qualification burden is high. V2 migration: buyer function is official-source supported but independent verification/current category demand is pending.,Official company procurement / supplier source,60,78,45,Supplier registration / RFQ access,UNKNOWN,ESTIMATED,Open e-source self-registration allows suppliers to be considered for tenders and RFQs Independent corroboration of current category demand is pending.,PROCEED
GEA Group AG,Germany,https://www.gea.com/,Foreign OEM,Process machinery,Official needs page names project/product materials and subcontracted manufacturing,Supplier registration and procurement contact are public; company states it is always looking for reliable suppliers,Supplier registration|Sustainable.Procurement@gea.com,https://www.gea.com/en/company/suppliers/our-needs|https://www.gea.com/en/about-us/suppliers/sustainable-procurement-supply-chain/,90,WAIT,Best explicit subcontract-manufacturing signal; sustainability requirements may slow onboarding. V2 migration: buyer function is official-source supported but independent verification/current category demand is pending.,Official company procurement / supplier source,60,82,50,Supplier registration and subcontract-manufacturing need,UNKNOWN,ESTIMATED,Supplier registration and procurement contact are public; company states it is always looking for reliable suppliers Independent corroboration of current category demand is pending.,PROCEED
Krones AG,Germany,https://www.krones.com/,Foreign OEM,Packaging and process machinery,Official supplier page describes procurement of production materials and need for qualified flexible suppliers,Application to Become a Supplier and eSupplier portal are public,Supplier application|eSupplier portal,https://www.krones.com/en/company/suppliers.php|https://www.krones.com/de/unternehmen/lieferantenportal.php,89,WAIT,Direct application route; exact metal-component category demand must be confirmed. V2 migration: buyer function is official-source supported but independent verification/current category demand is pending.,Official company procurement / supplier source,60,75,45,Supplier application / eSupplier portal,UNKNOWN,ESTIMATED,Application to Become a Supplier and eSupplier portal are public Independent corroboration of current category demand is pending.,PROCEED
Lely Industries N.V.,Netherlands,https://www.lely.com/,Foreign OEM,Agricultural robotics,Official site says Lely is an assembly company working with more than 300 component suppliers,Supplier portal; supplier questionnaire and quality manual are public,Lely supplier portal|supplier questionnaire,https://www.lely.com/careers/production-supply-chain/|https://www.lely.com/jp/legal-notice/suppliers/,84,WAIT,Clear component-sourcing model; no open commodity request was found. V2 migration: buyer function is official-source supported but independent verification/current category demand is pending.,Official company procurement / supplier source,55,65,50,Supplier network and growth,UNKNOWN,ESTIMATED,Supplier portal; supplier questionnaire and quality manual are public Independent corroboration of current category demand is pending.,PROCEED
VDL Groep B.V.,Netherlands,https://www.vdlgroep.com/en,Tier 1 / Tier 2 supplier,Mobility and industrial systems,Official site describes automated production; metal component programs and supplier governance,Supplier guidelines and supplier code are public; open registration route not verified,Corporate contact|supplier guidelines,https://www.vdlgroep.com/en|https://www.vdlgroep.com/_asset/_public/__site_282/leveranciers/246_GRO_25015_VDL-Leveranciersgedragscode_EN_2025-WEB.pdf,72,WAIT,Strong technical fit but VDL also manufactures similar parts internally; make-versus-buy and access route are UNKNOWN. V2 migration: buyer function is official-source supported but independent verification/current category demand is pending.,Official company procurement / supplier source,50,45,40,Supplier governance and active mobility programs,UNKNOWN,ESTIMATED,Supplier guidelines and supplier code are public; open registration route not verified Independent corroboration of current category demand is pending.,WAIT
CNH Industrial N.V.,Italy,https://www.cnh.com/,Foreign OEM,Agricultural and construction equipment,Prospective-supplier form requests production facilities; business segments; commodities; certifications and customer details,Live global potential-supplier application is available to the Purchasing community for review,CNH potential supplier registration,https://supplier.cnh.com/supplier/Portal/Collection/PotentialSupplier/Index|https://supplier.cnh.com/supplier/Portal/Home/Sustainability,94,WAIT,Most explicit open supplier-entry route; DUNS and sustainability onboarding are required. V2 migration: buyer function is official-source supported but independent verification/current category demand is pending.,Official company procurement / supplier source,65,80,55,Live prospective-supplier application,2026-02-09,VERIFIED,Live global potential-supplier application is available to the Purchasing community for review Independent corroboration of current category demand is pending.,PROCEED
IMA S.p.A.,Italy,https://ima.it/en/,Foreign OEM,Packaging and automation machinery,Official supply-chain page states selected partners help design; manufacture and assemble machines,Structured supplier qualification exists; production sourcing favors proximity to local clusters,Corporate supply-chain route,https://ima.it/en/corporate-social-responsibility/economic-sustainability/imas-supply-chain/,68,WAIT,Relevant need but explicit proximity preference weakens Turkey fit. V2 migration: buyer function is official-source supported but independent verification/current category demand is pending.,Official company procurement / supplier source,55,40,35,Supplier collaboration with proximity preference,UNKNOWN,ESTIMATED,Structured supplier qualification exists; production sourcing favors proximity to local clusters Independent corroboration of current category demand is pending.,WAIT
Danieli & C. Officine Meccaniche S.p.A.,Italy,https://www.danieli.com/,Foreign OEM,Metals plant and industrial equipment,Supplier portal terms cover companies intending to supply goods and services,EasyBuy procurement portal permits supplier registration,Danieli EasyBuy procurement portal,https://www.danieli.com/media/download/easybuy-portal-general-conditions.pdf|https://www.danieli.com/media/download/img_6554.pdf,78,WAIT,Accessible supplier route; project scale and qualification cycle may exceed 90 days. V2 migration: buyer function is official-source supported but independent verification/current category demand is pending.,Official company procurement / supplier source,55,65,40,EasyBuy supplier registration,UNKNOWN,ESTIMATED,EasyBuy procurement portal permits supplier registration Independent corroboration of current category demand is pending.,PROCEED
Solaris Bus & Coach sp. z o.o.,Poland,https://www.solarisbus.com/,Foreign OEM,Bus manufacturing,Official sustainability material states acquisition of components and materials used in production,Current supplier handbook and responsible-procurement program provide a formal supplier framework,Supplier handbook route,https://www.solarisbus.com/public/assets/content/firma/dostawcy/Supplier_handbook_Solaris_Bus__Coach_S.A.pdf|https://www.solarisbus.com/public/assets/content/firma/esg/2025/Sustainability_at_Solaris_2024.pdf,84,WAIT,Strong sheet-metal and serial-component fit; direct supplier application mechanism not verified. V2 migration: buyer function is official-source supported but independent verification/current category demand is pending.,Official company procurement / supplier source,55,60,55,Current supplier handbook and procurement program,2025,VERIFIED,Current supplier handbook and responsible-procurement program provide a formal supplier framework Independent corroboration of current category demand is pending.,PROCEED
Škoda Group a.s.,Czechia,https://www.skodagroup.com/,Foreign OEM,Rail and public transport equipment,Official pages show active vehicle production; component procurement and daily supplier interaction,Supplier quality manual and Supplier Code of Conduct are public; production procurement is active,Corporate procurement / supplier framework,https://www.skodagroup.com/page/code-of-conduct-for-suppliers|https://admin.skodagroup.com/wp-content/uploads/2025/08/Skoda-Transportation-Dodavatelsky-manual-kvality_En.pdf|https://www.skodagroup.com/press-release/skoda-group-to-supply-34-additional-battery-trolleybuses-to-plzen,82,WAIT,Current order book creates timing signal; public new-supplier registration route is UNKNOWN. V2 migration: buyer function is official-source supported but independent verification/current category demand is pending.,Official company procurement / supplier source,60,55,80,Active production procurement and 2026 vehicle orders,2026-06-22,VERIFIED,Supplier quality manual and Supplier Code of Conduct are public; production procurement is active Independent corroboration of current category demand is pending.,PROCEED
